transaction_id,account_id,amount,transaction_date,merchant_id
1,438,494.37,2023-12-29,14
2,408,762.42,2023-11-05,16
3,610,776.26,2023-10-16,14
4,179,943.72,2023-02-24,13
5,394,977.55,2023-02-03,11
6,428,116.27,2022-04-26,10
7,129,495.47,2023-12-15,16
8,312,-415.92,2022-12-13,14
9,244,684.11,2023-05-05,16
10,558,-410.02,2022-01-04,14
11,153,302.15,2022-07-30,20
12,389,479.1,2023-10-05,14
13,424,-70.12,2022-07-14,14
14,430,470.76,2023-10-26,18
15,196,172.59,2022-12-06,13
16,644,332.56,2023-01-20,16
17,340,573.27,2023-06-07,17
18,319,443.7,2023-06-14,20
19,104,652.65,2023-05-02,14
20,638,-497.63,2022-07-26,11
21,394,129.14,2023-06-17,11
22,271,-366.16,2023-07-06,13
23,400,477.94,2023-02-10,15
24,150,-236.34,2022-05-18,19
25,640,-468.61,2022-02-20,19
26,142,-12.05,2022-07-21,11
27,272,-215.93,2022-04-30,14
28,610,-59.0,2022-05-31,15
29,690,911.52,2022-03-14,10
30,104,677.45,2023-05-28,16
31,563,-478.03,2023-08-12,20
32,668,-436.2,2022-07-13,13
33,193,370.69,2022-06-23,20
34,161,376.55,2023-03-06,20
35,488,127.9,2023-07-31,16
36,157,839.77,2023-11-26,15
37,587,404.64,2023-11-21,15
38,104,420.25,2022-10-15,14
39,272,595.1,2023-12-17,15
40,454,651.93,2022-05-30,11
41,298,-29.23,2023-08-09,12
42,115,883.94,2022-03-11,13
43,620,976.32,2022-02-01,20
44,191,316.55,2022-01-29,16
45,107,722.12,2023-05-27,16
46,124,779.46,2023-02-02,10
47,141,947.09,2022-05-31,16
48,105,-221.36,2023-05-04,17
49,616,294.07,2022-04-03,15
50,349,607.47,2023-01-28,13
51,617,959.98,2023-09-09,14
52,220,-47.48,2023-01-14,17
53,448,-436.56,2023-04-05,17
54,584,-326.66,2022-01-24,15
55,571,175.77,2023-03-09,18
56,500,464.9,2022-03-03,18
57,604,530.68,2023-10-17,16
58,101,-453.16,2022-03-20,17
59,172,824.59,2022-11-02,17
60,148,983.47,2022-07-02,17
61,664,-251.52,2023-11-21,16
62,146,-482.72,2022-08-03,20
63,107,941.31,2022-06-11,17
64,675,968.34,2022-07-19,20
65,525,198.05,2023-05-02,19
66,279,251.52,2022-08-26,18
67,395,215.12,2023-12-12,13
68,600,834.51,2023-01-19,16
69,643,-94.15,2023-02-11,14
70,554,323.87,2023-08-08,20
71,180,-125.44,2023-01-21,14
72,501,-287.92,2022-04-19,10
73,117,-38.92,2022-04-20,20
74,526,-2.61,2022-03-17,15
75,605,550.97,2023-01-08,12
76,240,607.5,2022-05-11,20
77,460,606.91,2023-02-20,12
78,157,-75.13,2022-01-14,13
79,427,180.73,2022-10-02,11
